16,18,16,17,16,17,16,18,16,18,16,18,16,18,16,17,16,17,16,17,16,17,16,16,16,17,16,17,16,17,16,16,16,17,16,17,16,16,16,17,16,16,16,15,16,16,16,19,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16
17,17,17,17,18,16,18,16,18,17,18,17,17,16,18,17,18,17,17,16,17,17,17,16,17,16,16,16,16,16,17,16,16,16,17,16,17,16,16,16,17,16,16,16,16,16,16,18,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16
16,18,16,17,16,17,16,17,16,18,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,17,16,17,16,17,16,17,16,16,15,17,16,16,16,15,16,17,16,21,16,16,16,16,16,16,16,15,16,16,16,15,16,16,16,16
17,16,17,16,18,17,18,17,18,17,18,16,17,17,16,17,17,16,17,16,17,17,17,16,17,16,16,17,17,16,16,16,17,16,18,16,16,16,17,16,16,16,16,16,16,17,17,17,16,16,16,16,17,16,16,16,16,16,16,15,16,16,16,16
16,17,16,17,16,17,16,17,17,18,16,17,17,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,16,16,16,16,17,16,16,16,16,16,17,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,16,16,16
17,17,18,17,17,16,17,16,17,16,17,16,17,16,17,17,17,17,17,16,17,16,16,16,17,16,17,16,16,16,17,16,18,16,16,16,16,15,17,16,16,16,16,16,17,17,18,16,16,16,17,16,17,16,16,16,16,16,16,15,16,16,15,16
16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,16,16,17,16,17,16,16,16,17,16,18,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
17,16,17,16,16,16,17,16,17,16,17,16,17,16,16,16,16,16,17,16,17,17,17,16,17,16,17,16,17,16,17,16,16,16,17,16,16,16,16,16,17,16,17,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,15,15,16,16
16,17,16,17,16,17,16,17,16,17,16,16,16,17,16,16,16,17,16,17,16,16,16,16,16,17,16,17,16,17,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16
17,17,17,16,17,16,17,16,16,16,17,16,16,16,17,16,17,16,16,16,17,16,17,16,17,16,17,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,15,16,16,16,15,16,16,16,16,16,16
16,18,16,16,16,18,16,17,16,17,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16
17,17,16,16,17,16,17,16,16,16,17,16,16,16,17,17,17,16,16,16,17,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,15,16,16,15,16,16,15,16,15,16,16,16,16,16,16,17,16
16,17,16,17,16,17,16,17,16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,15,16,15,16,16,16,16,16,16,16,16,16,16,24,19,26
17,16,17,17,18,16,16,16,17,16,17,16,16,17,17,16,17,16,16,16,17,16,16,16,16,16,17,16,16,16,17,16,17,16,16,16,17,16,16,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,19,20,20
16,16,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,16,15,16,16,17,16,16,16,16,16,22,18,21
16,16,17,16,16,16,17,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,18,15,16,16,16,16,16,16,16,16,16,16,16,16,16,21,22,20
16,17,16,17,16,16,16,17,16,16,17,17,16,17,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,17,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,17
17,17,16,16,17,16,16,16,17,16,16,16,16,16,16,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,18,17,16,16,16,16,16,18,20,17
16,17,16,16,16,16,16,16,16,17,16,16,16,17,16,17,16,16,16,17,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,15,16,16,16,16,17,17,18,16,16,16,16,16,17,17,19
16,16,16,16,17,17,17,16,17,16,16,16,16,16,17,16,17,16,17,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,20,19,18,17,17,16,16,15,16,16,17,16
16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,16,16,17,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,19,16,18,16,17,16,16,16,18,17,18
17,16,16,16,16,16,17,16,16,15,16,16,16,15,17,16,16,16,16,16,16,17,16,16,16,15,16,16,16,16,17,16,16,16,16,15,17,16,16,16,16,16,17,16,16,16,17,16,17,15,16,17,18,17,18,17,18,16,17,16,16,16,17,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,21,17,19,16,17,16,18,16,16,16,19,16,16
16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,17,16,16,15,16,16,16,16,16,16,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,18,17,18,17,18,17,17,16,21,20,21,17
16,16,16,16,16,16,16,17,16,16,16,16,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,19,16,18,16,17,16,16,17,23,18,24
17,16,16,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,18,18,18,17,18,17,16,16,22,19,22,19
16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,18,16,18,16,17,16,16,16,18,18,20
16,16,16,15,16,15,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,16,18,17,17
16,16,15,16,16,16,16,16,16,16,16,17,16,16,16,16,16,16,16,17,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,15,16,15,16,16,17,16,18
16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,17,16,17,16,16,16,16,16,16,16,16,15,16,16,16,15,16,16,17,16,16,15,16,16,16,16,16,16,16,16,16,15,16,16,17,17,17,17,18,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,17,16,17,16,16,16,16,16,17,15,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,17,16,18,16,18,16,16,16,16,16,16,16,17,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,15,16,15,16,15,16,16,16,16,16,16,16,16,16,16,18,16,18,16,17,16,16,16,16,16,16,16,16,17
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,15,16,16,16,16,16,16,16,16,18,16,19,17,17,16,16,16,16,16,16,16,16,16,16
16,16,16,16,16,16,16,16,16,16,16,16,16,15,16,16,17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,16,16,16,17,16,16,16,16,16,17,16,16,16,17,16,18,17,18,17,18,16,16,16,16,15,16,16,16,16
16,16,15,16,16,16,15,16,16,16,16,16,16,16,16,17,16,17,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,16,16,15,16,16,16,16,16,16,16,16,16,16,17,16,18,16,18,16,16,16,16,15,16,16,16,16,16
