19,19,20,21,22,24,23,21,23,42,35,17,17,26,21,22
29,28,32,33,38,40,42,47,49,46,32,26,35,21,32,20
20,20,22,22,24,24,25,25,27,25,19,19,18,20,25,17
30,31,34,37,45,44,52,52,56,55,23,37,34,39,45,30
20,20,21,23,24,25,26,26,31,30,18,28,19,39,21,50
32,33,39,42,46,48,54,64,85,76,21,39,37,152,33,52
23,22,23,24,25,23,26,30,39,33,17,21,19,52,20,26
31,33,45,40,46,46,47,57,66,65,19,39,137,101,43,103
17,16,17,20,21,23,22,26,27,28,17,22,54,20,18,18
24,33,20,48,30,18,17,18,18,62,19,48,136,28,25,36
16,17,21,27,18,17,17,16,27,19,17,30,19,18,29,20
16,52,50,32,76,27,24,29,27,20,46,23,23,35,20,61
16,18,22,22,24,21,48,24,23,17,18,17,27,22,41,21
16,16,20,23,23,25,30,33,27,19,36,22,21,27,23,30
16,16,18,19,20,21,23,21,23,17,25,26,19,17,24,25
26,21,17,32,19,41,22,28,30,19,35,53,20,35,43,33
