19,18,18,18,18,16,17,16,20,18,18,16,16,17,17,16
25,20,25,22,21,19,19,19,24,18,17,16,18,18,17,16
17,17,18,18,17,17,17,16,17,17,18,16,16,16,16,15
22,20,20,20,21,20,18,17,18,19,19,21,17,19,16,35
16,18,18,17,16,17,17,18,17,15,18,16,16,20,16,28
18,19,19,19,20,21,21,19,20,18,17,17,16,29,17,26
16,16,16,18,17,17,17,17,17,16,16,16,16,19,15,19
18,16,18,18,20,19,18,20,18,18,18,17,24,22,18,25
16,16,16,17,17,17,16,16,16,16,16,16,18,15,16,16
18,18,17,17,20,16,16,17,16,18,19,18,26,15,18,17
16,16,18,17,17,17,16,16,16,15,15,17,16,16,16,16
15,19,17,17,18,17,16,17,17,16,19,18,16,26,18,18
15,17,15,16,16,16,16,16,16,15,18,17,17,17,17,15
16,15,17,18,18,16,16,19,17,17,18,18,17,19,19,17
16,15,17,16,15,16,16,16,15,15,17,16,17,16,16,16
16,17,16,17,17,17,16,16,17,16,17,17,17,21,18,16
