16,17,18,17,18,16,16,16,18,16,17,17,16,16,16,16
20,19,19,18,19,20,21,18,20,18,18,16,16,16,16,16
16,17,17,17,17,17,17,16,16,16,16,17,16,16,16,16
19,19,18,19,18,18,19,17,18,18,18,18,17,18,17,26
16,17,17,16,16,16,16,16,16,17,16,16,16,17,16,22
16,18,18,19,19,17,17,18,17,18,17,18,16,22,16,23
17,16,15,17,16,16,16,17,17,16,16,15,16,17,16,17
17,16,17,18,18,17,16,18,16,16,17,16,20,17,17,20
16,15,15,17,16,16,15,16,16,17,16,16,16,15,16,16
16,17,17,18,18,16,15,16,15,16,17,17,20,17,16,17
16,16,18,16,17,16,16,16,16,16,16,16,15,16,17,17
16,17,17,16,19,16,15,15,16,16,17,18,15,22,15,16
16,17,16,16,16,16,16,16,16,16,16,17,16,16,16,16
15,15,16,17,16,15,15,17,16,16,16,18,16,18,17,17
15,15,16,16,16,15,16,15,16,16,16,16,17,17,16,16
15,15,16,17,16,16,16,16,16,15,17,16,17,18,17,16
