Capture Number,Time,CIS Setting,Gain,Inttime,Frame Rate,LUX,Capture Name,frame_rate_Most_Fast,frame_rate_Most_Slow,frame_rate_Most_AVG
0,240508_170332,HIGH_12F,3,100000,7,156
1,240508_170332,HIGH_12F,3,100000,21,156
2,240508_170332,HIGH_12F,3,100000,16,156
3,240508_170332,HIGH_12F,3,100000,11,156
4,240508_170332,HIGH_12F,3,100000,11,156
5,240508_170332,HIGH_12F,3,100000,13,156
6,240508_170332,HIGH_12F,3,100000,9,156
7,240508_170332,HIGH_12F,3,100000,13,156
8,240508_170332,HIGH_12F,3,100000,11,156
9,240508_170332,HIGH_12F,3,100000,11,156
10,240508_170332,HIGH_12F,3,100000,12,156
11,240508_170332,HIGH_12F,3,100000,10,156
12,240508_170332,HIGH_12F,3,100000,12,156
13,240508_170332,HIGH_12F,3,100000,11,156
14,240508_170332,HIGH_12F,3,100000,10,156
15,240508_170332,HIGH_12F,3,100000,13,156
16,240508_170332,HIGH_12F,3,100000,11,156
17,240508_170332,HIGH_12F,3,100000,10,156
18,240508_170332,HIGH_12F,3,100000,14,156
19,240508_170332,HIGH_12F,3,100000,10,156
20,240508_170332,HIGH_12F,3,100000,11,156
21,240508_170332,HIGH_12F,3,100000,11,156
22,240508_170332,HIGH_12F,3,100000,11,156
23,240508_170332,HIGH_12F,3,100000,12,156
24,240508_170332,HIGH_12F,3,100000,12,156
25,240508_170332,HIGH_12F,3,100000,9,156
26,240508_170332,HIGH_12F,3,100000,12,156
27,240508_170332,HIGH_12F,3,100000,11,156
28,240508_170332,HIGH_12F,3,100000,9,156
29,240508_170332,HIGH_12F,3,100000,12,156
30,240508_170332,HIGH_12F,3,100000,11,156
31,240508_170332,HIGH_12F,3,100000,9,156
32,240508_170332,HIGH_12F,3,100000,15,156
33,240508_170332,HIGH_12F,3,100000,11,156
34,240508_170332,HIGH_12F,3,100000,10,156
35,240508_170332,HIGH_12F,3,100000,12,156
36,240508_170332,HIGH_12F,3,100000,11,156
37,240508_170332,HIGH_12F,3,100000,11,156
38,240508_170332,HIGH_12F,3,100000,11,156
39,240508_170332,HIGH_12F,3,100000,10,156
40,240508_170332,HIGH_12F,3,100000,11,156
41,240508_170332,HIGH_12F,3,100000,11,156
42,240508_170332,HIGH_12F,3,100000,9,156
43,240508_170332,HIGH_12F,3,100000,15,156
44,240508_170332,HIGH_12F,3,100000,10,156
45,240508_170332,HIGH_12F,3,100000,12,156
46,240508_170332,HIGH_12F,3,100000,13,156
47,240508_170332,HIGH_12F,3,100000,10,156
48,240508_170332,HIGH_12F,3,100000,15,156
49,240508_170332,HIGH_12F,3,100000,11,156
50,240508_170332,HIGH_12F,3,100000,10,156
51,240508_170332,HIGH_12F,3,100000,12,156
52,240508_170332,HIGH_12F,3,100000,10,156
53,240508_170332,HIGH_12F,3,100000,10,156
54,240508_170332,HIGH_12F,3,100000,13,156
55,240508_170332,HIGH_12F,3,100000,11,156
56,240508_170332,HIGH_12F,3,100000,9,156
57,240508_170332,HIGH_12F,3,100000,14,156
58,240508_170332,HIGH_12F,3,100000,10,156
59,240508_170332,HIGH_12F,3,100000,11,156
60,240508_170332,HIGH_12F,3,100000,12,156
61,240508_170332,HIGH_12F,3,100000,11,156
62,240508_170332,HIGH_12F,3,100000,12,156
63,240508_170332,HIGH_12F,3,100000,11,156
64,240508_170332,HIGH_12F,3,100000,8,156
65,240508_170332,HIGH_12F,3,100000,14,156
66,240508_170332,HIGH_12F,3,100000,11,156
67,240508_170332,HIGH_12F,3,100000,11,156
68,240508_170332,HIGH_12F,3,100000,12,156
69,240508_170332,HIGH_12F,3,100000,10,156
70,240508_170332,HIGH_12F,3,100000,13,156
71,240508_170332,HIGH_12F,3,100000,11,156
72,240508_170332,HIGH_12F,3,100000,11,156
73,240508_170332,HIGH_12F,3,100000,12,156
74,240508_170332,HIGH_12F,3,100000,10,156
75,240508_170332,HIGH_12F,3,100000,8,156
76,240508_170332,HIGH_12F,3,100000,16,156
77,240508_170332,HIGH_12F,3,100000,13,156
78,240508_170332,HIGH_12F,3,100000,11,156
79,240508_170332,HIGH_12F,3,100000,9,156
80,240508_170332,HIGH_12F,3,100000,14,156
81,240508_170332,HIGH_12F,3,100000,10,156
82,240508_170332,HIGH_12F,3,100000,11,156
83,240508_170332,HIGH_12F,3,100000,12,156
84,240508_170332,HIGH_12F,3,100000,10,156
85,240508_170332,HIGH_12F,3,100000,13,156
86,240508_170332,HIGH_12F,3,100000,11,156
