55,53,55,56,54,56,50,40,64,68,51,32,23,33,22,22
142,153,156,140,153,142,141,119,107,97,69,47,57,38,38,55
57,60,53,54,54,53,52,49,45,40,37,28,20,21,29,20
183,163,144,163,198,147,158,156,138,112,100,91,44,50,140,51
57,52,48,57,60,53,52,54,53,43,39,36,21,58,23,68
116,144,135,154,150,141,148,146,141,107,79,45,46,207,32,209
28,36,44,47,51,43,46,46,46,40,28,22,21,58,21,84
45,85,109,105,134,125,117,115,107,101,54,46,180,132,49,128
21,23,35,37,39,42,40,39,40,38,28,23,58,20,18,19
75,110,53,122,84,25,21,21,26,91,59,58,167,33,31,43
28,21,56,42,41,35,20,18,27,32,23,33,19,18,39,26
20,128,54,62,144,46,35,40,38,58,69,22,26,70,25,60
18,28,22,32,34,27,73,28,27,25,17,18,30,29,40,20
18,20,26,52,33,33,49,64,36,34,51,34,29,41,56,32
16,18,23,26,22,25,27,25,26,20,29,28,19,18,22,23
31,35,23,51,22,58,24,39,41,25,46,71,24,43,38,30
