53,53,56,56,55,55,50,40,63,67,52,31,22,34,22,22
138,154,157,142,151,140,141,118,110,96,64,48,59,37,39,54
57,61,53,54,55,53,50,47,45,40,38,29,21,22,29,20
180,166,143,163,193,150,156,161,136,109,103,89,45,50,139,52
57,52,48,57,60,53,54,54,51,42,40,36,21,59,23,67
116,147,136,154,148,144,148,148,142,106,77,48,45,209,31,209
27,35,44,48,49,44,46,46,46,39,28,22,21,58,21,83
46,86,107,99,136,124,112,114,108,101,54,45,177,131,50,128
21,23,35,38,39,42,41,40,40,38,28,23,58,21,18,18
76,111,53,122,85,23,20,22,26,89,57,61,169,33,33,42
27,21,54,43,40,36,21,17,27,32,23,33,20,18,39,26
20,127,54,61,144,46,35,42,38,59,69,23,25,70,25,62
18,28,22,33,34,28,72,29,28,26,18,17,30,28,40,20
19,20,25,53,32,33,50,64,36,33,50,35,29,40,56,31
16,18,22,25,22,24,28,26,25,20,29,27,19,18,22,23
32,36,23,52,21,57,24,38,41,25,46,70,23,41,38,29
